ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF0R8701111,HHBARGHLMF,GR,OMF,9,11
INF846K016V7,AXISCUGPG,GR,OMF,9,10.42
INF846K019V1,AXISCUDGG,GR,OMF,9,10.44
INF179KC1IE0,HHRIDGMF,GR,OMF,9,11.81
INF179KC1ID2,HHRIRGMFL,GR,OMF,9,11.79
INF174KA1RI9,KNABG,GR,OMF,9,10.29
INF174KA1RN9,KNABDG,GR,OMF,9,10.29
INF209K01CE5,BSL201D,DR,OMF,9,150.74
INF209K01VI6,B201RZ,DR,OMF,9,230
INF209K01CY3,BSL301QD,DR,OMF,9,13.34
INF194KA1S43,IDD305DP,DP,OMF,9,10.39
INF209K01AD1,BSL402IG,DR,GMF,10,76.75
INF209K01CL0,BSL221D,DR,OMF,9,239.8
INF209K01VU1,B221RZ,DR,OMF,9,491.02
INF740K01995,DSPBRBDF,DR,OMF,9,11.58
INF740K01029,DSPBREF,DR,OMF,9,67.92
INF740K01PK8,DSPEQDDR,DR,OMF,9,97.03
INF740K01OA2,DSPBLDDR,DR,OMF,9,71.06
INF740K01334,DSPBRBALF,DR,OMF,9,30.37
INF740K01AD5,DSPBRGSDF,DR,GMF,10,12.67
INF740K01086,DSPBROF,DR,OMF,9,42.58
INF740K01PN2,DSPOPPDDR,DR,OMF,9,120.25
INF179K01822,HDFCGFDD,DR,OMF,9,41.06
INF179K01VZ5,HGFDRTDR,DR,OMF,9,47.21
INF179K01954,HDFCIFDR,DR,OMF,9,11.35
INF179K01WK5,HIFDRTDR,DR,OMF,9,12.69
INF966L01044,166IBDP,DR,OMF,9,217.94
INF966L01671,166IBD1,DR,OMF,9,230.74
INF192K01593,JMEFDP,DR,OMF,9,32.12
INF192K01JT6,EFAD,DR,OMF,9,33.03
INF192K01536,JMBFDP,DR,OMF,9,35.69
INF192K01HG7,JMFBFYD,DR,OMF,9,35.43
INF192K01AA5,IFRD,DR,OMF,9,19.69
INF137A01029,JMBADP,DR,OMF,9,75.02
INF192K01BS5,JMBADD,DR,OMF,9,81.23
INF174K01FJ3,KGIREGQDR,DR,GMF,10,17.85
INF174K01443,KBALANCE,DR,OMF,9,35.62
INF174K01LM5,KBALR04D,DR,OMF,9,43.12
INF174K01EP3,KBONREGADR,DR,OMF,9,44.2
INF767K01055,EFDPR,DR,OMF,9,31.91
INF767K01EH1,EFD1R,DR,OMF,9,37.17
INF767K01915,LICNBFDPR,DR,OMF,9,14.75
INF194KA1S50,IDD305RDR,DR,OMF,9,10.39
INF767K01014,BLDPR,DR,OMF,9,17.04
INF767K01EE8,BLD1R,DR,OMF,9,21.13
INF767K01089,GFDPR,DR,OMF,9,33.84
INF767K01EK5,GFD1R,DR,OMF,9,39.7
INF109K01449,IPGROWTH12,DR,OMF,9,33.28
INF109K010O7,IPRU8003,DR,OMF,9,54.63
INF109K01423,IPFMCG42,DR,OMF,9,105.07
INF109K01Z06,IPRU8012,DR,OMF,9,196.19
INF109K01498,IPRU62,DR,OMF,9,43.21
INF109K01X99,IPRU8018,DR,OMF,9,67.64
INF109KB1QJ8,IPRU2759,DR,OMF,9,28.08
INF109KB1QL4,IPRU8961,DR,OMF,9,30.63
INF109K01514,IPTECH72,DR,OMF,9,70.27
INF109K01Z30,IPRU8020,DR,OMF,9,143.97
INF109K01399,IP21Q,DR,OMF,9,12.5
INF109K01JP8,IPRU54,DR,GMF,10,17.79
INF109K017C7,IPRU8016,DR,GMF,10,18.77
INF204K01307,RELGROWTDR,DR,OMF,9,125.7
INF204K01E47,RELGRODPDP,DR,OMF,9,195.83
INF204K01380,RELVISINDR,DR,OMF,9,69.21
INF204K01F12,RELVISDPDP,DR,OMF,9,77.65
INF204K01CO5,RELINCOMDR,DR,OMF,9,10.86
INF204K01CQ0,RELINCOQDR,DR,OMF,9,13.21
INF204K01CU2,RELINCOADR,DR,OMF,9,13.17
INF044D01963,TMFSSDPR,DR,OMF,9,114.41
INF044D01799,TMFDSDPR,DR,OMF,9,114.09
INF044D01AA3,TMFLTDPR,DR,OMF,9,198.34
INF090I01882,FIIFNSEDR,DR,OMF,9,187.2
INF090I01GR6,FIIFNSEDDR,DR,OMF,9,196.43
INF090I01CT1,SFLDR,DR,GMF,10,10.59
INF090I01288,GFDR,DR,OMF,9,116.51
INF090I01GX4,GFDDR,DR,OMF,9,132.7
INF090I01163,FIBCFDR,DR,OMF,9,50.54
INF090I01FP2,FIBCFDDR,DR,OMF,9,58.34
INF090I01734,FIPFDR,DR,OMF,9,99.63
INF090I01FJ5,FIPFDDR,DR,OMF,9,118.76
INF090I01221,FIPPDR,DR,OMF,9,70.91
INF090I01FM9,FIPPDDR,DR,OMF,9,79.73
INF090I01767,FIFDR,DR,OMF,9,54.91
