Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082024,1865492645,0002491
Trade Date <28-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2361,UPL,EQ,1369570,465871,34.02
20,2362,URBAN,SM,9600,6400,66.67
20,2363,URJA,EQ,5284492,1972101,37.32
20,2364,USHAMART,EQ,639967,340985,53.28
20,2365,UTIAMC,EQ,228448,136362,59.69
20,2366,UTIBANKETF,EQ,362890,344700,94.99
20,2367,UTINEXT50,EQ,155221,133252,85.85
20,2368,UTINIFTETF,EQ,230492,219522,95.24
20,2369,UTISENSETF,EQ,751,541,72.04
20,2370,UTISXN50,EQ,3430,2221,64.75
20,2371,UTKARSHBNK,EQ,811925,398859,49.13
20,2372,UTSSAV,SM,361200,243600,67.44
20,2373,UTTAMSUGAR,EQ,167929,74838,44.57
20,2374,VADILALIND,EQ,46463,16782,36.12
20,2375,VAIBHAVGBL,EQ,956711,471053,49.24
20,2376,VAISHALI,EQ,1658503,672452,40.55
20,2377,VAKRANGEE,EQ,3811735,1541108,40.43
20,2378,VALIANTLAB,EQ,143932,77681,53.97
20,2379,VALIANTORG,EQ,80224,45144,56.27
20,2380,VARDHACRLC,EQ,73737,28758,39.00
20,2381,VARDMNPOLY,EQ,3525521,2634059,74.71
20,2382,VARROC,EQ,223188,106303,47.63
20,2383,VASCONEQ,EQ,1097717,560611,51.07
20,2384,VASWANI,EQ,70274,43212,61.49
20,2385,VBL,EQ,1801694,1084750,60.21
20,2386,VEDL,EQ,9277650,4040749,43.55
20,2387,VEEKAYEM,SM,7000,6500,92.86
20,2388,VELS,SM,19200,19200,100.00
20,2389,VENKEYS,EQ,111373,37606,33.77
20,2390,VENUSPIPES,EQ,74413,42782,57.49
20,2391,VENUSREM,EQ,47449,23642,49.83
20,2392,VERITAAS,SM,9600,9600,100.00
