ACCELYA SOLN INDIA LTD        ,ACCELYA   ,EQ,N,0001786.60,0001795.00,0001840.45,0001741.00,0001796.35,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001799.90
ACCENT MICROCELL LIMITED      ,ACCENTMIC ,SM,N,0000281.50,0000284.00,0000289.00,0000281.50,0000284.55,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000284.05
ACCURACY SHIPPING LIMITED     ,ACCURACY  ,BE,G,0000012.24,0000011.99,0000011.99,0000011.99,0000011.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000011.99
ACE INTEGRATED SOLU. LTD.     ,ACEINTEG  ,EQ,N,0000034.03,0000034.00,0000035.26,0000033.80,0000034.25,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000034.17
ACTION CONST EQUIP LTD        ,ACE       ,EQ,N,0001306.45,0001299.90,0001307.00,0001265.05,0001269.50,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001272.00
ADANI ENERGY SOLUTION LTD     ,ADANIENSOL,EQ,N,0001046.15,0001050.90,0001050.90,0001022.50,0001027.15,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001024.90
ADANI ENTERPRISES LIMITED     ,ADANIENT  ,EQ,N,0003067.10,0003078.00,0003078.00,0003022.10,0003028.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0003028.00
ADANI GREEN ENERGY LTD        ,ADANIGREEN,BL,O,0000504.60,0001855.00,0001855.00,0001855.00,0001855.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001855.00
ADANI GREEN ENERGY LTD        ,ADANIGREEN,EQ,N,0001886.80,0001880.00,0001892.55,0001847.25,0001861.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001860.15
ADANI PORT & SEZ LTD          ,ADANIPORTS,EQ,N,0001478.35,0001479.40,0001486.40,0001467.00,0001469.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001470.50
ADANI POWER LTD               ,ADANIPOWER,EQ,N,0000654.10,0000657.00,0000658.85,0000638.15,0000641.55,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000640.00
ADANI TOTAL GAS LIMITED       ,ATGL      ,EQ,N,0000856.35,0000853.50,0000859.00,0000840.10,0000848.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000845.00
ADANI WILMAR LIMITED          ,AWL       ,EQ,N,0000373.95,0000375.00,0000377.85,0000366.00,0000367.15,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000367.35
ADDICTIVE LEARNING TECH L     ,LAWSIKHO  ,SM,N,0000346.60,0000343.00,0000358.50,0000321.55,0000343.20,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000345.00
ADF FOODS LIMITED             ,ADFFOODS  ,BL,O,0000227.51,0000269.24,0000269.24,0000269.24,0000269.24,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000269.24
ADF FOODS LIMITED             ,ADFFOODS  ,EQ,N,0000269.24,0000274.43,0000277.00,0000253.70,0000261.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000266.00
ADIT BIRL SUN LIF AMC LTD     ,ABSLAMC   ,EQ,N,0000734.75,0000740.85,0000753.15,0000730.00,0000733.70,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000735.00
ADITYA BIRLA CAPITAL LTD.     ,ABCAPITAL ,EQ,N,0000222.77,0000224.70,0000224.70,0000221.01,0000221.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000221.50
ADITYA BIRLA FASHION & RT     ,ABFRL     ,EQ,N,0000321.90,0000321.60,0000323.40,0000312.05,0000314.85,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000315.70
ADITYA BIRLA MONEY LTD        ,BIRLAMONEY,BE,N,0000159.34,0000161.80,0000161.80,0000157.60,0000160.19,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000160.90
ADITYBIRLA SL GOLD ETF-GR     ,BSLGOLDETF,EQ,N,0000064.06,0000064.64,0000064.64,0000063.82,0000064.02,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000064.08
ADITYBIRLA SL NIF ETF-GR      ,BSLNIFTY  ,EQ,N,0000028.71,0000028.87,0000028.87,0000028.61,0000028.76,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000028.80
ADOR WELDING LTD              ,ADORWELD  ,EQ,N,0001326.00,0001330.75,0001334.30,0001312.05,0001315.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001317.95
ADROIT INFOTECH LIMITED       ,ADROITINFO,EQ,N,0000020.28,0000021.90,0000021.90,0000020.10,0000020.73,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000020.90
