MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1005.00,      1008.00,      1009.00,      1007.00,      1007.00,                  1032690.00,1025, ,5,      1018.00,       990.00
N,N5,1025NFL25,SEC RE NCD 10.25% SR.II,       998.00,      1000.00,      1000.00,      1000.00,      1000.00,                    30000.00,30, ,1,      1180.00,       931.35
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1021.05,      1026.00,      1026.00,      1018.00,      1018.00,                   147718.00,145, ,5,      1060.00,       888.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1136.00,      1130.30,      1138.00,      1130.30,      1138.00,                   147901.50,130, ,3,      1173.00,      1054.00
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,      1163.50,      1163.50,      1163.50,      1163.50,      1163.50,                    19779.50,17, ,8,      1288.00,      1130.01
N,N5,888ERFL28,SEC RED NCD 8.88% SR. V,       910.00,       915.00,       917.20,       915.00,       917.20,                   100782.00,110, ,2,       955.00,       825.80
N,N5,925SCL25,SEC RE NCD 9.25% SR II,       967.01,       972.00,       973.80,       972.00,       972.51,                    33055.20,34, ,4,      1110.00,       933.99
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       999.99,       997.00,       997.00,       970.00,       970.41,                   393812.30,405, ,10,      1011.00,       894.01
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       934.28,       934.28,       936.99,       925.00,       936.17,                  5102609.56,5487, ,51,       993.00,       900.00
N,N5,980IFSL25,SEC RE NCD 9.80% SR.II,      1010.00,      1000.20,      1130.00,      1000.20,      1000.20,                   213057.00,200, ,5,      1130.00,       849.00
N,N6,1035UCL24,SEC RED NCD 10.35% SR. II,       994.31,      1000.00,      1000.00,      1000.00,      1000.00,                   145000.00,145, ,5,      1035.00,       975.00
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,       970.00,       986.35,       986.35,       986.35,       986.35,                   108498.50,110, ,1,      1070.00,       952.00
N,N6,704IRFC28,BOND 7.04% PA TAX FREE S2,      1075.20,      1077.10,      1105.00,      1077.00,      1094.00,                  2293477.38,2111, ,9,      1262.00,      1032.50
N,N6,846REC28,BOND 8.46% TAX FREE S2A,      1165.00,      1165.00,      1165.00,      1165.00,      1165.00,                   565025.00,485, ,3,      1259.00,      1070.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1163.00,      1163.00,      1166.90,      1163.00,      1164.90,                  1173185.93,1008, ,11,      1250.00,      1130.00
